@relation 'ear-liwc-speech-act-mrc-weka.filters.unsupervised.attribute.Remove-R105-118-weka.filters.unsupervised.attribute.Remove-R16,109-546,552-574,580-607-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R118-122-weka.filters.unsupervised.attribute.Remove-R119-122'

@attribute word-per-sec numeric
@attribute voiced-time numeric
@attribute pitch-mean numeric
@attribute pitch-min numeric
@attribute pitch-max numeric
@attribute pitch-stddev numeric
@attribute pitch-slope numeric
@attribute int-mean numeric
@attribute int-min numeric
@attribute int-max numeric
@attribute int-stddev numeric
@attribute AOA numeric
@attribute BROWN-FREQ numeric
@attribute CONC numeric
@attribute FAM numeric
@attribute IMAG numeric
@attribute K-F-FREQ numeric
@attribute K-F-NCATS numeric
@attribute K-F-NSAMP numeric
@attribute MEANC numeric
@attribute MEANP numeric
@attribute NLET numeric
@attribute NPHON numeric
@attribute NSYL numeric
@attribute T-L-FREQ numeric
@attribute WC numeric
@attribute WPS numeric
@attribute Qmarks numeric
@attribute Unique numeric
@attribute Dic numeric
@attribute Sixltr numeric
@attribute Abbreviations numeric
@attribute Emoticons numeric
@attribute Pronoun numeric
@attribute I numeric
@attribute We numeric
@attribute Self numeric
@attribute You numeric
@attribute Other numeric
@attribute Negate numeric
@attribute Assent numeric
@attribute Article numeric
@attribute Preps numeric
@attribute Number numeric
@attribute Affect numeric
@attribute Posemo numeric
@attribute Posfeel numeric
@attribute Optim numeric
@attribute Negemo numeric
@attribute Anx numeric
@attribute Anger numeric
@attribute Sad numeric
@attribute Cogmech numeric
@attribute Cause numeric
@attribute Insight numeric
@attribute Discrep numeric
@attribute Inhib numeric
@attribute Tentat numeric
@attribute Certain numeric
@attribute Senses numeric
@attribute See numeric
@attribute Hear numeric
@attribute Feel numeric
@attribute Social numeric
@attribute Comm numeric
@attribute Othref numeric
@attribute Friends numeric
@attribute Family numeric
@attribute Humans numeric
@attribute Time numeric
@attribute Past numeric
@attribute Present numeric
@attribute Future numeric
@attribute Space numeric
@attribute Up numeric
@attribute Down numeric
@attribute Incl numeric
@attribute Excl numeric
@attribute Motion numeric
@attribute Occup numeric
@attribute School numeric
@attribute Job numeric
@attribute Achieve numeric
@attribute Leisure numeric
@attribute Home numeric
@attribute Sports numeric
@attribute TV numeric
@attribute Music numeric
@attribute Money numeric
@attribute Metaph numeric
@attribute Relig numeric
@attribute Death numeric
@attribute Physcal numeric
@attribute Body numeric
@attribute Sexual numeric
@attribute Eating numeric
@attribute Sleep numeric
@attribute Groom numeric
@attribute Swear numeric
@attribute Nonfl numeric
@attribute Fillers numeric
@attribute Period numeric
@attribute Comma numeric
@attribute Colon numeric
@attribute SemiC numeric
@attribute QMark numeric
@attribute Exclam numeric
@attribute Dash numeric
@attribute Quote numeric
@attribute Apostro numeric
@attribute Parenth numeric
@attribute OtherP numeric
@attribute AllPct numeric
@attribute ASSERTION numeric
@attribute COMMAND numeric
@attribute PROMPT numeric
@attribute QUESTION numeric
@attribute EXT.S numeric

@data

3.455285,123,225.43,42.11,580.13,112.31,203.9,62.12,40.81,80.88,5.54,249.578947,1963.054404,322.41954,605.193182,343.096591,5422.880407,14.43257,334.773537,389.510086,648.8,3.172589,2.488506,1.102828,27076.17765,425,85,1.18,37.65,91.53,6.82,0,0,23.06,9.18,0.71,9.88,4.94,6.12,3.06,1.41,2.12,8.24,1.41,1.65,1.41,0,0,0.24,0.24,0,0,7.06,1.41,1.41,1.88,0.24,2.59,0.71,6.59,0.24,5.88,0.24,20.24,6.59,12,0,0,1.41,5.65,10.35,14.12,0.24,4.24,2.12,0.47,5.18,3.76,0.47,0.94,0,0.71,0.94,0.71,0.71,0,0.24,0,0.24,0.24,0.24,0,0.94,0.24,0.47,0.47,0,0,0.24,0.94,1.65,0,0.24,0,0,1.18,0,0,0,0,0,40.24,41.65,0.769231,0,0,0.230769,2.5
2.575558,1141.5,195.34,26.41,638.74,108.31,306.63,70.21,54.22,86.47,7.94,287.566879,2020.213513,315.176134,603.390381,334.456661,7235.51396,14.279574,337.980162,376.888423,624.532468,3.325899,2.675731,1.154393,32872.656946,2940,9.7,1.84,22.76,82.28,9.39,0.03,0,17.14,8.06,0.99,9.05,2.62,2.01,2.31,2.07,4.69,10.17,1.6,3.98,2.01,0.65,0.24,1.97,0.03,1.29,0.17,7.04,1.26,1.63,1.97,0.37,2.35,0.88,3.06,0.68,1.63,0.54,8.74,1.9,5.71,0.14,0.07,0.54,3.95,4.86,15.78,1.39,3.71,1.5,0.34,5.61,4.39,2.28,1.53,0.71,0.34,0.54,0.99,0.41,0.14,0.03,0.41,0.44,0.24,0.2,0.03,1.53,0.48,0.61,0.34,0.07,0.14,1.19,0.41,0.78,8.64,2.48,0.07,0,1.97,0,0.1,0,3.44,0,2.14,18.84,0.718841,0.02029,0.084058,0.176812,3.625
1.056395,1118.9,215.58,37.87,620.09,100.53,242.54,64.3,53.43,86,4.7,328.12987,1907.472067,303.473073,601.886037,323.744353,7125.202952,14.160517,334.386531,368.421622,622.833333,3.466848,2.846875,1.190702,33607.732033,1182,25.15,1.27,33.16,84.43,10.49,0,0,14.04,6.68,0.93,7.61,1.69,2.37,2.79,1.44,5.33,8.97,0.76,4.82,3.3,1.02,0.51,1.52,0,0.68,0.08,9.48,1.02,2.28,3.89,0.34,2.96,1.44,1.78,0.34,1.35,0,8.97,2.28,5.25,0.42,0.17,0.59,2.71,3.64,17.85,1.18,2.2,0.76,0.34,5.33,5.92,1.44,1.52,0.42,0.68,0.59,1.02,0.68,0.08,0.25,0.25,0.51,0.42,0.25,0.17,0.85,0.17,0.51,0.08,0.17,0,0.25,1.86,2.79,2.71,11.08,0,0,1.27,0,0.17,0,3.3,0,8.63,27.16,0.681818,0.045455,0.045455,0.227273,2.625
1.752435,1088.2,200.14,25.33,646.01,114.24,312.24,67.43,54.11,87.5,7.22,302.773585,1722.086119,308.447656,601.959068,329.425237,6698.123746,13.853958,327.547938,370.343853,639.941176,3.311987,2.678707,1.160253,30706.599022,1907,6.93,1.94,27.11,82.07,8.34,0,0,16.68,4.72,2.41,7.13,2.25,2.88,3.41,2.52,5.14,8.7,1.47,4.82,2.88,0.21,0.1,1.94,0.1,1.52,0,8.34,0.68,2.73,2.83,0.16,2.83,0.89,2.94,1.21,1.26,0.16,10.8,1.42,8.13,0.1,0,0.94,2.62,4.14,16.83,1.42,3.83,1.47,0.21,3.67,4.51,1.89,0.94,0.47,0.16,0.42,1.21,0.63,0.05,0.42,0.1,0.1,0.21,0.1,0.1,1.94,0.37,0.84,0.42,0.16,0.26,1.31,1.99,1.47,13.21,9.96,0,0,2.2,0.26,0.05,0,7.29,0,9.86,42.84,0.784127,0.034921,0.047619,0.133333,3.875
1.840597,1273.5,198.29,23.17,642.47,108.45,352.04,70.5,3.02,86.52,8.93,305.009009,1842.889217,310.751369,602.723564,330.727273,6763.853027,14.129395,337.265625,369.136542,630.053571,3.321344,2.664009,1.133301,31237.803459,2344,11.49,3.33,24.32,83.11,8.58,0.09,0,15.23,5.08,1.11,6.19,3.54,2.65,2.86,3.11,3.92,9.3,1.49,3.58,1.92,0.26,0.21,1.66,0.13,1.24,0.04,7,1.45,1.45,1.88,0.17,2.26,1.32,2.05,0.34,1.32,0.26,10.32,1.58,7.42,0.04,0.04,1.07,3.5,4.14,13.82,1.11,3.46,1.54,0.17,5.03,4.05,1.45,1.32,0.38,0.55,0.68,0.73,0.3,0.17,0.09,0.17,0.43,0.21,0.09,0.13,1.83,1.19,0.55,0.09,0.26,0,1.11,1.41,4.14,5.59,0.68,0.13,0.04,3.5,0,0.21,0.94,3.2,0,5.8,20.09,0.581028,0.019763,0.075099,0.324111,4
2.164754,583.9,198,34.8,632.78,106.35,226.75,66.02,54.51,85.38,6.71,307.294118,1934.79516,317.788789,603.43829,337.190476,6626.873928,14.043739,325.866209,380.177732,621.896552,3.415617,2.751901,1.186026,30471.734812,1264,16.63,1.27,30.62,82.83,8.78,0,0,15.51,8.54,0.55,9.1,1.98,1.34,1.9,1.66,3.72,10.76,1.9,4.59,1.34,0.08,0.32,3.24,0,2.85,0.08,7.04,0.79,1.74,2.61,0.16,2.85,1.11,1.5,0.55,0.87,0.08,6.65,1.03,4.11,0,0.08,1.27,5.06,3.8,15.82,1.34,3.4,1.42,0.32,4.43,4.98,1.34,3.16,1.42,1.11,1.42,0.47,0.47,0,0,0,0.55,0.24,0.24,0,2.37,0.08,1.74,0.4,0.32,0,2.93,0,0.55,4.75,3.48,0,0,1.27,0,0.08,0,1.58,0,1.58,12.74,0.806122,0.010204,0.020408,0.163265,3.5
1.790311,427.3,197.05,34.15,627.12,104.71,342.8,65.69,35.44,85.85,7.25,299.645161,1996.164978,318.906602,603.356577,338.477021,6192.789474,14.29872,334.72973,381.073529,624.363636,3.255944,2.52188,1.117052,29543.70607,765,7.15,2.88,33.99,89.02,7.06,0,0,18.43,8.63,0.52,9.15,4.05,3.4,4.18,1.05,4.71,8.63,4.84,3.66,1.83,0.26,0.78,1.83,0,1.05,0.26,6.01,0.52,1.05,2.22,0.39,2.22,1.57,4.31,0.52,3.53,0.13,13.59,4.18,8.1,0,0.39,0.92,3.01,7.19,14.9,0.65,3.53,0.92,0.13,6.01,2.75,1.7,2.88,1.31,0.78,1.18,0.13,0.13,0,0,0,1.05,0,0,0,1.31,0.65,0.65,0.13,0,0.13,1.57,0.26,1.05,11.24,4.18,0,0,2.88,0.13,0.13,0,2.22,0,1.18,21.96,0.725664,0.061947,0.017699,0.19469,2.5
2.320763,723.9,189.3,27.23,599.89,88.69,315.67,66.91,54.07,85.99,5.96,273.057471,1909.092867,317.711495,603.33161,339.67873,6196.3,14.071711,325.763816,377.132614,637.888889,3.277706,2.595636,1.140479,29145.548154,1680,5.66,2.38,27.5,83.93,7.2,0,0,18.51,7.32,1.19,8.51,3.39,3.04,2.8,2.38,3.33,9.4,3.99,3.51,2.14,0.24,0.54,1.37,0,1.07,0,6.19,0.77,1.49,2.32,0.06,2.74,1.13,1.9,0.65,1.19,0.06,10.3,1.43,7.86,0.06,0.24,0.48,4.17,4.58,15.18,0.89,4.35,1.67,0.65,4.64,3.51,2.98,1.55,0.24,0.54,0.83,0.65,0.24,0.3,0,0.12,0.54,0.42,0.24,0.18,1.96,0.77,0.89,0.18,0.06,0.3,1.07,0.95,0.54,14.82,3.99,0,0,2.38,0.6,0,0,1.43,0,1.25,24.46,0.722045,0.028754,0.111821,0.13738,3.125
1.153632,1259.5,212.06,37.29,648.41,109.49,308.75,67.87,54.58,86.98,6.62,289.675676,1805.740625,322.657986,603.075809,340.890971,5523.551804,14.132003,321.910975,384.331556,635.074074,3.402539,2.628571,1.163313,26433.643581,1453,5.68,3.92,31.73,78.46,9.36,0,0,18.38,6.88,0.96,7.85,3.44,3.44,1.86,2.41,3.51,8.4,1.24,4.68,2.41,0.14,0.48,2.27,0.14,1.51,0.14,8.6,1.17,3.3,1.51,0.41,4.06,1.17,4.68,1.72,2.68,0.28,12.94,2.89,7.98,0.14,0.07,1.72,3.92,5.57,14.04,1.1,3.44,1.65,0.14,3.03,3.37,1.51,1.03,0.48,0.34,0.41,1.51,0.41,0.07,0.41,0.62,0.14,0.07,0.07,0,1.45,0.69,0.62,0.14,0.07,0.34,1.58,0.14,0,14.93,4.13,0,0,3.99,0,0.21,0,2.48,0,3.1,28.84,0.682143,0.039286,0.060714,0.217857,3
