id	avg.extra	avg.ems	avg.agree	avg.consc	avg.open	avg.naturalness	realization
agree_high-compare2-Acacia-Marinella-4	5.500	6.500	6.000	5.750	4.250	6.000	Did you say Acacia and Marinella? I imagine you would appreciate them, you see? It seems to me that Marinella provides kind of satisfactory food, also it's an italian place mate, but Acacia offers sort of acceptable food, you know.
agree_high-compare2-Caffe_Cielo-Trattoria_Spaghetto-4	6.000	6.000	5.500	6.500	5.250	6.500	Let's see what we can find on Caffe Cielo and Trattoria Spaghetto. Oh yeah, I would approve them. Even if Caffe Cielo has rather bad atmosphere, it offers sort of nice food, alright? I guess Trattoria Spaghetto is an italian place. Even if it provides bad atmosphere, this restaurant features nice food.
agree_high-compare2-Ikeno_Hana-Menchanko-Tei-4	5.750	6.000	6.250	6.000	5.750	6.500	Let's see what we can find on Ikeno Hana and Menchanko-Tei. Well, yeah, I would advise them. I suppose Ikeno Hana provides quite nice food, you know. However, Menchanko-Tei, which offers nice food, is a japanese and noodles place, okay?
agree_high-compare2-Kin_Khao-Tossed-4	4.000	4.750	5.750	5.250	3.500	5.000	Did you say Kin Khao and Tossed? Oh yeah, I would suggest them, wouldn't you? Kin Khao offers quite satisfactory food. I guess Tossed, however, has sort of acceptable food.
agree_high-compare2-Le_Rivage-Pintaile_s_Pizza-4	5.500	5.000	5.250	5.000	4.250	2.000	You want to know more about Le Rivage and Pintaile's Pizza? I see, right, I would suggest them, you would probably like them, you see? It seems to me that Pintaile's Pizza is inexpensive. Le Rivage is located in Manhattan and it offers quite bad atmosphere, also it's somewhat expensive.
agree_high-compare2-Les_Routiers-Radio_Perfecto-4	2.750	5.500	5.500	5.500	4.500	4.500	Let's see, Les Routiers and Radio Perfecto... Oh i see, I would consider them, I suspect you would enjoy them, alright? Les Routiers, which offers quite acceptable food, is in Manhattan. It seems to me that Radio Perfecto is sort of affordable. This restaurant, which has adequate food, is in the East Village.
agree_high-compare2-Mavalli_Palace-Once_Upon_A_Tart-4	6.250	4.500	5.000	5.500	4.250	4.500	You want to know more about Mavalli Palace and Once Upon A Tart? Well, yeah, I would advise them. I suppose Once Upon A Tart's price is around 15 dollars, it's located in TriBeCa/SoHo, also it's a cafe and sandwich place, it's a cafe and sandwich place, Mavalli Palace's price is 27 dollars, it's kind of affordable, and it's located in Murray Hill and an indian place, okay?
agree_high-compare2-Old_San_Juan-Veselka-4	5.250	6.250	6.000	5.750	5.250	6.000	Let's see, Old San Juan and Veselka... Oh right, I would suggest them. I suppose Veselka is an east european place and located in Manhattan and Old San Juan is a latin american place and in Manhattan pal, okay? you know.
agree_high-compare2-Scopa-Shabu-Tatsu-4	4.750	4.500	4.750	4.750	5.000	5.500	Let's see, Scopa and Shabu-Tatsu... It seems that Scopa is an italian and new american place with rather nice service while Shabu-Tatsu is a japanese place with quite nice waiters, you know pal, okay?
agree_high-compare2-Soul_Fixins_-Walker_s-4	4.000	6.000	5.250	5.000	3.500	6.500	You want to know more about Soul Fixins' and Walker's? Yeah, I would suggest them, I guess they're kind of alright, okay? Soul Fixins' is somewhat quite cheap, also it's a southern place. It seems that Walker's's price is 25 dollars, also it's a bar snacks place.
agree_high-recommend-Cent_anni-4	6.000	6.250	6.250	6.000	5.500	5.500	Did you say Cent'anni? I imagine you would appreciate it, you see? It seems that this eating place, which provides sort of good food and rather acceptable service, you know, is in Manhattan mate.
agree_high-recommend-Chimichurri_Grill-4	6.250	6.000	5.750	6.250	5.250	6.500	You want to know more about Chimichurri Grill? I guess you would like it buddy because this restaurant, which is in Midtown West, is a latin american place with rather nice food and quite nice waiters, you know, okay?
agree_high-recommend-Edgar_s_Cafe-4	6.500	6.250	6.000	6.250	5.500	6.000	Let's see, Edgar's Cafe... Right, well, it's one of my favourite restaurants. I guess it's somewhat inexpensive. This eating house, which offers rather acceptable food, is a cafe eating place and located in Manhattan, okay?
agree_high-recommend-Flor_De_Mayo-4	5.750	6.000	5.250	5.750	5.250	5.500	Let's see, Flor De Mayo... I see, well, it's one of my favourite places, isn't it? I think that its price is 18 dollars, you know. This restaurant, which is in the Upper West Side, is a chinese and latin american place with sort of nice food.
agree_high-recommend-Jin_Dal_Lae-4	2.000	5.250	5.250	5.000	4.500	5.000	You want to know more about Jin Dal Lae? Right, yeah, I think that it's in The Bronx with kind of acceptable food, so I guess you would like it, I would suggest this restaurant, and its price is around 27 dollars, also this restaurant is a korean place, you see?
