id	avg.extra	avg.ems	avg.agree	avg.consc	avg.open	avg.naturalness	realization
random-KashiVishwanath-eastvillagejapanese_compare2-10	3.333	n/a	n/a	n/a	n/a	4.000	Right, ok, Japonica has like, nice servers, and the atmosphere is nice, the atmosphere is nice. Basically, Dojo is a japanese and vegetarian place.
random-KashiVishwanath-eastvillagejapanese_compare2-11	3.667	n/a	n/a	n/a	n/a	4.000	Err... i see, Japonica just has sort of acceptable ambience while Dojo features sort of rude waiters, bad servers, and it doesn't have good atmosphere.
random-KashiVishwanath-eastvillagejapanese_compare2-12	6.333	n/a	n/a	n/a	n/a	4.000	Let's see what we can find on Japonica and Dojo. Right, Japonica, which features acceptable atmosphere, is a japanese and sushi eating place while Dojo, which has unmannered waiters with second-rate atmosphere, is a rather japanese and vegetarian restaurant, you see?
random-KashiVishwanath-eastvillagejapanese_compare2-13	4.000	n/a	n/a	n/a	n/a	4.333	Ok, actually, Japonica, which features sort of acceptable waiters, is a quite japanese and sushi restaurant with satisfactory atmosphere. However, actually, Dojo is a sort of japanese and vegetarian eating place.
random-KashiVishwanath-eastvillagejapanese_compare2-14	5.333	n/a	n/a	n/a	n/a	4.333	Well, ok, Dojo is a japanese and vegetarian restaurant. On the other hand, Japonica, which doesn't feature quite rather nasty waiters, is a japanese and sushi eating house with acceptable ambience, you know.
random-KashiVishwanath-eastvillagejapanese_compare2-15	3.667	n/a	n/a	n/a	n/a	4.000	I see, I think that Japonica, which has like, rather friendly service, is a japanese and sushi place with nice atmosphere. Actually, Dojo, on the other hand, is a japanese and vegetarian place, isn't it?
random-KashiVishwanath-eastvillagejapanese_compare2-16	4.833	n/a	n/a	n/a	n/a	5.667	Err... basically, Dojo is a japanese and vegetarian place, also it has poor ambiance and bad waiters, but Japonica has like, rather sort of nice ambience!
random-KashiVishwanath-eastvillagejapanese_compare2-6	5.333	n/a	n/a	n/a	n/a	5.000	It seems that Japonica features passable servers and decent ambiance and it's a japanese and sushi eating place. Dojo is a japanese and vegetarian eating house, isn't it? It has kind of unmannered waiters, unmannerly staff, and the ambience isn't really good.
random-KashiVishwanath-eastvillagejapanese_compare2-7	5.833	n/a	n/a	n/a	n/a	2.333	Dojo has bad servers. It's a japanese and vegetarian place. It's a japanese and vegetarian place. Japonica is a japanese and sushi place and it has nice atmosphere and nice service.
random-KashiVishwanath-eastvillagejapanese_compare2-8	5.167	n/a	n/a	n/a	n/a	3.667	Japonica is a japanese and sushi place, a japanese and sushi restaurant, with acceptable atmosphere, nice atmosphere. I mean, Dojo has bad service. The atmosphere is somewhat poor, isn't it?
random-KashiVishwanath-eastvillagejapanese_compare2-9	5.667	n/a	n/a	n/a	n/a	4.000	Yeah, actually, Japonica doesn't have quite rather nasty servers. Actually, the atmosphere is sort of nice. It's a sort of japanese and sushi place, isn't it? Dojo has rather bad service and quite poor atmosphere.
random-KashiVishwanath-french_compare3-10	5.833	n/a	n/a	n/a	n/a	5.667	Aureole has excellent service, although it's costly. It has great ambience, doesn't it? Daniel has wonderful servers, even if it's expensive. It features beautiful ambiance, the atmosphere is lovely. Daniel and Aureole are acceptable places.
random-KashiVishwanath-french_compare3-11	6.167	n/a	n/a	n/a	n/a	5.000	Even if Aureole's price is 71 dollars, it isn't cheap, it has beautiful ambiance. It has wonderful service. It has brilliant staff, doesn't it? Even if Daniel is costly, it features lovely ambience. It has excellent service. Daniel and Aureole are the only restaurants that are any good.
random-KashiVishwanath-french_compare3-6	4.667	n/a	n/a	n/a	n/a	4.000	Daniel and Aureole are the only restaurants that are any good. Aureole features beautiful ambience. The staff is sort of wonderful. The service is sort of excellent, isn't it? Its price is 71 dollars. Daniel's price is 82 dollars.
random-KashiVishwanath-french_compare3-7	6.667	n/a	n/a	n/a	n/a	4.000	Daniel features outstanding food, although its price is 82 dollars, the food is wonderful. The ambiance is beautiful and the staff is brilliant. Aureole has lovely ambience with excellent food, doesn't it? Daniel and Aureole are satisfactory eating houses, there could be worse restaurants.
random-KashiVishwanath-french_compare3-8	6.667	n/a	n/a	n/a	n/a	5.667	Aureole's price is 71 dollars. The food is delicious. The food is delightful. It features marvellous ambiance and it has fantastic service, it has tremendous waiters. Daniel has fabulous staff with first-class ambience and incredible food. Acceptable eating houses.
random-KashiVishwanath-french_compare3-9	4.500	n/a	n/a	n/a	n/a	5.000	Aureole and Daniel have great atmosphere. I mean, Daniel and Aureole are some of my favourite restaurants, some of my favourite places.
random-KashiVishwanath-upperwestsideasian_compare2-10	5.667	n/a	n/a	n/a	n/a	4.667	Actually, Monsoon features nice atmosphere while Lemongrass Grill is a thai place and it doesn't have good ambience!
random-KashiVishwanath-upperwestsideasian_compare2-11	5.167	n/a	n/a	n/a	n/a	2.667	Lemongrass Grill has poor ambience. Monsoon is a really vietnamese place, it's a vietnamese restaurant. The atmosphere is really nice, isn't it?
