,age,gender,country,english,attention_check,d0_condition,d1_condition,d2_condition,d0_q1,d0_q2,d0_q3,d0_q4,d0_q5,d0_q6,d0_q7,d0_q8,d0_q9,d0_q10,d0_q11,d0_q12,d0_q13,d0_q14,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d1_q6,d1_q7,d1_q8,d1_q9,d1_q10,d1_q11,d1_q12,d1_q13,d1_q14,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d2_q6,d2_q7,d2_q8,d2_q9,d2_q10,d2_q11,d2_q12,d2_q13,d2_q14
0,25,male,IT,med,"[0, 1, 5]",model1_int,model2_int,model2_ext,1,1,1,1,1,4,5,5,5,5,5,3,5,0,2,2,1,2,2,4,5,4,5,5,4,2,4,0,4,3,4,5,5,2,1,2,3,4,2,1,3,0
1,24,female,GR,med,"[0, 1, 5]",model0_ext,model0_ext,model0_int,0,0,1,0,1,6,5,6,6,6,6,6,6,0,0,0,0,0,2,6,6,6,6,6,6,6,6,0,4,4,3,4,3,2,3,3,4,2,6,6,6,0
2,31,female,IT,med,"[0, 1, 5]",model0_int,model2_ext,model1_int,2,2,2,2,3,4,5,4,4,4,5,5,5,0,2,1,1,1,2,4,5,5,4,4,1,0,4,0,3,2,2,2,1,4,5,4,3,4,6,5,5,0
3,18,female,IT,med,"[0, 1, 5]",model2_int,model1_ext,model2_int,4,4,4,4,1,1,4,1,2,4,1,1,1,0,1,1,1,1,2,5,5,5,5,5,1,4,5,0,2,1,1,1,4,1,2,1,1,1,5,5,4,0
4,30,male,FI,med,"[0, 1, 5]",model1_ext,model1_int,model1_ext,0,5,0,1,0,6,6,5,4,6,5,0,5,0,0,5,0,0,3,5,5,4,2,5,5,5,1,0,4,4,4,2,0,1,4,1,3,4,5,5,5,0
5,23,female,ZA,high,"[0, 1, 5]",model2_ext,model0_int,model0_ext,0,2,2,1,0,6,6,6,5,6,6,6,6,0,0,1,0,0,0,6,6,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,6,6,0
6,63,female,GR,med,"[0, 5]",model1_int,model2_int,model2_ext,0,3,1,0,1,4,4,3,3,4,4,5,4,0,0,1,3,0,1,5,5,5,4,5,5,5,5,0,0,3,1,0,3,4,3,3,2,5,5,5,3,0
7,26,male,GR,med,"[0, 1, 5]",model0_ext,model0_ext,model0_int,3,4,3,3,4,3,4,3,4,3,5,5,5,0,1,1,1,1,1,5,4,5,4,5,4,2,2,0,3,4,4,3,4,3,3,2,2,3,5,4,4,0
8,33,female,PL,med,"[0, 1]",model0_int,model2_ext,model1_int,1,3,1,1,2,5,5,4,5,5,4,1,5,0,1,1,1,1,2,5,5,5,5,5,2,1,5,0,2,3,1,2,1,4,4,2,3,3,5,4,5,0
9,36,female,ZA,high,[5],model2_int,model1_ext,model2_int,4,5,6,4,2,2,0,2,2,2,6,0,2,6,0,0,0,0,0,6,6,6,6,6,6,6,4,6,4,4,3,4,3,4,2,2,2,2,6,0,4,5
