Gender,Age,Country,English,Dialogue,Condition,Model,Personality,Introversion rating,Extraversion rating,Extraversion,Fluency rating,Personality overall
male,25.0,IT,med,1.0,d0_model1_int,GPT-3,Int,1.0,4.8,4.9,4.333333333333333,1.1
male,25.0,IT,med,2.0,d1_model2_int,STRAP,Int,1.8,4.6,4.3999999999999995,3.3333333333333335,1.6
male,25.0,IT,med,3.0,d2_model2_ext,STRAP,Ext,4.2,2.4,2.1,2.0,2.0999999999999996
female,24.0,GR,med,1.0,d0_model0_ext,Expert,Ext,0.4,5.8,5.7,6.0,5.699999999999999
female,24.0,GR,med,2.0,d1_model0_ext,Expert,Ext,0.4,6.0,5.8,6.0,5.8
female,24.0,GR,med,3.0,d2_model0_int,Expert,Int,3.6,2.8,2.6000000000000005,6.0,3.4000000000000004
female,31.0,IT,med,1.0,d0_model0_int,Expert,Int,2.2,4.2,3.9999999999999996,5.0,2.0
female,31.0,IT,med,2.0,d1_model2_ext,STRAP,Ext,1.4,4.4,4.5,1.6666666666666667,4.5
female,31.0,IT,med,3.0,d2_model1_int,GPT-3,Int,2.0,4.0,4.0,5.333333333333333,2.0
female,18.0,IT,med,1.0,d0_model2_int,STRAP,Int,3.4,2.4,2.5,1.0,3.5
female,18.0,IT,med,2.0,d1_model1_ext,GPT-3,Ext,1.2,5.0,4.9,3.3333333333333335,4.9
female,18.0,IT,med,3.0,d2_model2_int,STRAP,Int,1.8,1.2,2.7,4.666666666666667,3.3
male,30.0,FI,med,1.0,d0_model1_ext,GPT-3,Ext,1.2,5.4,5.1000000000000005,3.3333333333333335,5.1
male,30.0,FI,med,2.0,d1_model1_int,GPT-3,Int,1.6,4.2,4.3,3.6666666666666665,1.7
male,30.0,FI,med,3.0,d2_model1_ext,GPT-3,Ext,2.8,2.6,2.9,5.0,2.9000000000000004
female,23.0,ZA,high,1.0,d0_model2_ext,STRAP,Ext,1.0,5.8,5.4,6.0,5.4
female,23.0,ZA,high,2.0,d1_model0_int,Expert,Int,0.2,6.0,5.9,6.0,0.10000000000000009
female,23.0,ZA,high,3.0,d2_model0_ext,Expert,Ext,0.0,6.0,6.0,6.0,6.0
male,26.0,GR,med,1.0,d0_model0_ext,Expert,Ext,3.4,3.4,3.0,5.0,3.0
male,26.0,GR,med,2.0,d1_model0_ext,Expert,Ext,1.0,4.6,4.8,2.6666666666666665,4.8
male,26.0,GR,med,3.0,d2_model0_int,Expert,Int,3.6,2.6,2.5,4.333333333333333,3.5
female,33.0,PL,med,1.0,d0_model0_int,Expert,Int,1.6,4.8,4.6000000000000005,3.3333333333333335,1.4000000000000001
female,33.0,PL,med,2.0,d1_model2_ext,STRAP,Ext,1.2,5.0,4.9,2.6666666666666665,4.9
female,33.0,PL,med,3.0,d2_model1_int,GPT-3,Int,1.8,3.2,3.6999999999999997,4.666666666666667,2.3
