Age,Gender,English,Model,Personality condition,Condition,Own introversion,Own extraversion,Own personality,Condition and own personality,Personality matching,Introversion rating,Extraversion rating,Extraversion,Fluency rating,Godspeed anthropomorphism,Godspeed likeability,Godspeed safety,RoSAS warmth,RoSAS discomfort,Uncanniness,Personality overall
19,female,high,STRAP,Ext,STRAP Ext,3.0,3.75,Ext,STRAP Ext Ext,True,0.8,6.0,5.6,6.0,1.8,2.8,3.0,1.3333333333333333,2.8333333333333335,2.925,5.6
32,female,high,STRAP,Int,STRAP Int,3.75,2.75,Int,STRAP Int Int,True,2.0,3.2,3.5999999999999996,2.6666666666666665,2.0,3.0,3.3333333333333335,1.3333333333333333,2.3333333333333335,2.666666666666667,2.4
22,female,med,GPT-3,Int,GPT-3 Int,4.0,2.0,Int,GPT-3 Int Int,True,3.4,3.6,3.0999999999999996,5.666666666666667,4.0,5.0,2.3333333333333335,2.8333333333333335,0.16666666666666666,1.5,2.9
23,female,med,GPT-3,Ext,GPT-3 Ext,3.25,3.75,Ext,GPT-3 Ext Ext,True,1.4,4.2,4.3999999999999995,4.333333333333333,3.0,3.4,2.3333333333333335,1.6666666666666667,1.5,2.375,4.4
39,male,high,STRAP,Ext,STRAP Ext,4.5,3.25,Int,STRAP Ext Int,False,1.8,4.8,4.5,5.0,2.6,3.4,2.6666666666666665,2.1666666666666665,2.0,2.3916666666666666,4.5
18,female,med,STRAP,Int,STRAP Int,5.0,3.0,Int,STRAP Int Int,True,1.8,4.4,4.3,4.333333333333333,1.4,4.8,3.0,1.5,0.8333333333333334,2.4833333333333334,1.6999999999999997
32,female,med,GPT-3,Int,GPT-3 Int,2.5,4.0,Ext,GPT-3 Int Ext,False,3.2,2.8,2.8000000000000003,6.0,2.6,3.0,3.0,1.3333333333333333,2.6666666666666665,2.6833333333333336,3.2
30,female,high,GPT-3,Ext,GPT-3 Ext,1.5,5.0,Ext,GPT-3 Ext Ext,True,1.0,3.8,4.4,6.0,3.6,5.0,3.0,2.1666666666666665,0.3333333333333333,1.6416666666666666,4.4
21,female,high,STRAP,Ext,STRAP Ext,4.0,1.5,Int,STRAP Ext Int,False,2.8,2.4,2.8000000000000003,6.0,1.4,1.6,1.6666666666666667,0.8333333333333334,2.3333333333333335,3.3583333333333334,2.8
23,female,med,STRAP,Int,STRAP Int,3.5,4.75,Ext,STRAP Int Ext,False,3.2,0.6,1.6999999999999997,6.0,1.2,2.6,2.0,0.0,0.0,2.95,4.3
21,female,med,GPT-3,Int,GPT-3 Int,1.0,4.75,Ext,GPT-3 Int Ext,False,1.4,3.8,4.2,5.333333333333333,1.6,2.4,2.6666666666666665,0.5,2.6666666666666665,3.225,1.8
22,female,med,GPT-3,Ext,GPT-3 Ext,3.75,4.0,Ext,GPT-3 Ext Ext,True,3.4,2.6,2.5999999999999996,6.0,1.6,3.4,3.0,1.5,1.8333333333333333,2.683333333333333,2.6
38,female,high,STRAP,Int,STRAP Int,3.75,3.0,Int,STRAP Int Int,True,0.6,4.6,5.0,2.6666666666666665,1.6,4.0,3.0,2.0,0.3333333333333333,2.183333333333333,1.0000000000000002
22,female,med,GPT-3,Int,GPT-3 Int,0.75,6.0,Ext,GPT-3 Int Ext,False,3.0,3.4,3.2,5.666666666666667,2.8,5.0,3.0,2.6666666666666665,1.1666666666666667,1.925,2.8
20,female,med,GPT-3,Ext,GPT-3 Ext,3.0,4.25,Ext,GPT-3 Ext Ext,True,3.0,2.2,2.5999999999999996,6.0,3.2,3.2,2.0,0.16666666666666666,1.8333333333333333,2.8666666666666667,2.6
30,female,high,STRAP,Ext,STRAP Ext,1.75,4.25,Ext,STRAP Ext Ext,True,0.8,3.0,4.1,4.0,1.2,2.2,3.0,1.0,3.1666666666666665,3.2416666666666667,4.1
26,female,med,STRAP,Int,STRAP Int,5.75,0.75,Int,STRAP Int Int,True,1.0,4.2,4.6,5.333333333333333,1.6,3.8,2.6666666666666665,2.1666666666666665,1.3333333333333333,2.475,1.4
40,female,med,GPT-3,Int,GPT-3 Int,4.0,1.25,Int,GPT-3 Int Int,True,2.4,2.4,3.0,6.0,2.8,3.8,2.3333333333333335,2.3333333333333335,0.8333333333333334,2.091666666666667,3.0
22,female,med,GPT-3,Ext,GPT-3 Ext,2.0,4.0,Ext,GPT-3 Ext Ext,True,1.0,4.0,4.5,5.333333333333333,1.8,4.8,1.6666666666666667,2.1666666666666665,0.16666666666666666,2.3833333333333333,4.5
24,female,med,STRAP,Ext,STRAP Ext,3.75,3.5,Int,STRAP Ext Int,False,2.8,3.6,3.4,4.333333333333333,1.2,2.8,3.0,0.8333333333333334,2.6666666666666665,3.158333333333333,3.4000000000000004
20,female,med,GPT-3,Int,GPT-3 Int,3.5,3.25,Int,GPT-3 Int Int,True,2.8,3.6,3.4,3.6666666666666665,3.0,3.4,3.0,2.3333333333333335,0.5,1.7916666666666665,2.5999999999999996
28,female,high,GPT-3,Ext,GPT-3 Ext,2.75,3.5,Ext,GPT-3 Ext Ext,True,2.2,4.0,3.9,5.333333333333333,2.0,3.4,2.3333333333333335,1.6666666666666667,1.6666666666666667,2.6666666666666665,3.9
20,female,med,STRAP,Ext,STRAP Ext,5.0,3.5,Int,STRAP Ext Int,False,1.0,3.8,4.4,5.333333333333333,2.8,4.2,2.3333333333333335,2.1666666666666665,2.0,2.425,4.4
25,female,med,STRAP,Int,STRAP Int,3.5,3.75,Ext,STRAP Int Ext,False,2.6,3.2,3.3,2.0,1.4,2.4,2.3333333333333335,1.3333333333333333,2.1666666666666665,3.025,2.7
38,female,med,GPT-3,Int,GPT-3 Int,4.25,2.0,Int,GPT-3 Int Int,True,1.2,4.0,4.4,6.0,2.0,3.2,2.6666666666666665,1.1666666666666667,2.0,2.791666666666667,1.6
30,female,med,GPT-3,Ext,GPT-3 Ext,4.5,2.25,Int,GPT-3 Ext Int,False,1.6,4.8,4.6000000000000005,5.666666666666667,2.6,5.0,3.0,2.0,0.5,1.975,4.6
19,female,med,STRAP,Ext,STRAP Ext,5.75,3.25,Int,STRAP Ext Int,False,0.8,3.8,4.5,5.333333333333333,2.2,4.4,3.0,1.6666666666666667,1.3333333333333333,2.3666666666666667,4.5
21,female,med,STRAP,Int,STRAP Int,1.25,4.25,Ext,STRAP Int Ext,False,3.6,2.0,2.2,5.666666666666667,2.2,4.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,2.8666666666666667,3.8
29,female,med,GPT-3,Int,GPT-3 Int,3.0,3.75,Ext,GPT-3 Int Ext,False,3.2,2.6,2.6999999999999997,4.0,2.6,3.2,3.0,2.6666666666666665,0.8333333333333334,1.8916666666666666,3.3
24,female,med,GPT-3,Ext,GPT-3 Ext,2.0,3.75,Ext,GPT-3 Ext Ext,True,3.2,2.8,2.8000000000000003,5.333333333333333,2.6,2.2,2.3333333333333335,1.6666666666666667,1.6666666666666667,2.5166666666666666,2.8
25,female,med,STRAP,Ext,STRAP Ext,3.25,4.75,Ext,STRAP Ext Ext,True,0.8,4.2,4.699999999999999,4.0,2.6,3.6,2.6666666666666665,2.1666666666666665,1.8333333333333333,2.35,4.7
64,female,high,STRAP,Int,STRAP Int,3.5,1.75,Int,STRAP Int Int,True,3.2,3.0,2.9,5.0,3.4,3.6,2.3333333333333335,1.6666666666666667,0.0,1.9,3.1
23,female,med,GPT-3,Int,GPT-3 Int,4.0,2.5,Int,GPT-3 Int Int,True,2.8,3.6,3.4,4.333333333333333,3.6,4.0,2.6666666666666665,3.5,0.5,1.4333333333333336,2.5999999999999996
25,female,high,GPT-3,Ext,GPT-3 Ext,4.0,3.0,Int,GPT-3 Ext Int,False,2.8,2.4,2.8000000000000003,5.0,2.2,3.4,4.333333333333333,1.8333333333333333,0.5,1.7833333333333334,2.8
19,female,high,STRAP,Int,STRAP Int,1.5,5.5,Ext,STRAP Int Ext,False,2.4,3.2,3.3999999999999995,6.0,1.4,2.8,2.0,2.1666666666666665,2.1666666666666665,2.9,2.5999999999999996
22,female,med,GPT-3,Int,GPT-3 Int,2.75,4.75,Ext,GPT-3 Int Ext,False,2.2,1.2,2.5,4.0,1.0,1.0,2.6666666666666665,0.16666666666666666,3.6666666666666665,3.7083333333333335,3.5
25,female,med,GPT-3,Ext,GPT-3 Ext,0.75,4.75,Ext,GPT-3 Ext Ext,True,1.2,3.8,4.300000000000001,5.0,1.4,3.0,3.0,4.0,2.0,2.15,4.3
21,female,med,STRAP,Ext,STRAP Ext,3.25,4.25,Ext,STRAP Ext Ext,True,1.8,3.0,3.6,4.0,1.8,3.6,2.0,1.8333333333333333,2.3333333333333335,2.925,3.6
23,female,med,STRAP,Ext,STRAP Ext,4.75,2.25,Int,STRAP Ext Int,False,1.8,4.4,4.3,5.333333333333333,3.2,5.0,3.3333333333333335,3.5,0.16666666666666666,1.2833333333333332,4.300000000000001
31,male,med,STRAP,Int,STRAP Int,2.0,2.5,Ext,STRAP Int Ext,False,2.2,3.4,3.6,2.6666666666666665,1.4,3.2,2.6666666666666665,1.6666666666666667,2.5,2.9416666666666664,2.4000000000000004
40,male,high,GPT-3,Int,GPT-3 Int,2.25,4.75,Ext,GPT-3 Int Ext,False,3.4,3.8,3.2,5.0,3.0,4.8,2.6666666666666665,2.5,0.16666666666666666,1.75,2.8
37,male,med,GPT-3,Ext,GPT-3 Ext,5.0,3.5,Int,GPT-3 Ext Int,False,0.0,6.0,6.0,6.0,1.8,4.6,2.3333333333333335,1.6666666666666667,1.0,2.55,6.0
22,male,med,STRAP,Ext,STRAP Ext,3.5,4.0,Ext,STRAP Ext Ext,True,2.8,2.8,3.0000000000000004,4.0,2.8,3.6,3.0,2.0,1.5,2.175,3.0
24,male,med,GPT-3,Int,GPT-3 Int,2.75,5.75,Ext,GPT-3 Int Ext,False,2.6,1.2,2.3,4.333333333333333,3.2,3.4,2.0,1.8333333333333333,0.3333333333333333,2.075,3.7
40,male,med,GPT-3,Ext,GPT-3 Ext,5.0,4.0,Int,GPT-3 Ext Int,False,0.6,3.8,4.6000000000000005,6.0,1.8,3.6,2.6666666666666665,2.5,1.0,2.2583333333333337,4.6
21,male,med,STRAP,Ext,STRAP Ext,1.5,5.0,Ext,STRAP Ext Ext,True,2.8,3.0,3.1,6.0,2.6,4.0,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.2666666666666666,3.1
25,male,med,STRAP,Int,STRAP Int,4.25,4.25,Ext,STRAP Int Ext,False,2.2,3.8,3.8000000000000003,3.0,2.0,3.6,3.0,1.1666666666666667,1.1666666666666667,2.5,2.2
25,male,med,GPT-3,Ext,GPT-3 Ext,3.0,4.0,Ext,GPT-3 Ext Ext,True,2.4,2.0,2.8,5.333333333333333,1.8,4.6,2.3333333333333335,0.0,0.3333333333333333,2.8,2.8
45,male,med,STRAP,Ext,STRAP Ext,2.0,3.25,Ext,STRAP Ext Ext,True,3.8,2.0,2.1,3.6666666666666665,1.8,3.8,2.6666666666666665,1.8333333333333333,0.3333333333333333,2.2583333333333337,2.1
27,male,med,STRAP,Int,STRAP Int,4.0,2.75,Int,STRAP Int Int,True,2.2,1.8,2.8,4.0,2.4,2.8,1.6666666666666667,1.6666666666666667,2.1666666666666665,2.8583333333333334,3.2
21,male,med,GPT-3,Int,GPT-3 Int,3.75,4.75,Ext,GPT-3 Int Ext,False,2.6,3.6,3.5,5.0,3.4,4.4,2.3333333333333335,2.0,1.3333333333333333,2.15,2.5
20,male,high,GPT-3,Ext,GPT-3 Ext,2.75,3.5,Ext,GPT-3 Ext Ext,True,1.8,2.2,3.1999999999999997,5.0,2.4,4.6,3.0,1.1666666666666667,1.3333333333333333,2.4416666666666664,3.2
23,male,med,STRAP,Ext,STRAP Ext,3.75,4.5,Ext,STRAP Ext Ext,True,1.6,4.6,4.5,5.666666666666667,3.2,4.6,3.0,3.0,0.3333333333333333,1.5333333333333332,4.5
24,male,med,STRAP,Int,STRAP Int,1.0,3.75,Ext,STRAP Int Ext,False,1.2,5.0,4.9,5.0,2.8,3.6,2.3333333333333335,2.1666666666666665,2.0,2.425,1.1
57,male,med,GPT-3,Int,GPT-3 Int,4.75,1.5,Int,GPT-3 Int Int,True,2.4,2.6,3.0999999999999996,4.0,1.0,2.2,2.0,1.0,2.1666666666666665,3.2916666666666665,2.9
25,male,med,GPT-3,Ext,GPT-3 Ext,4.75,2.25,Int,GPT-3 Ext Int,False,0.8,5.2,5.199999999999999,6.0,2.8,5.0,3.0,2.3333333333333335,0.5,1.8416666666666666,5.2
37,male,med,STRAP,Ext,STRAP Ext,3.75,2.25,Int,STRAP Ext Int,False,2.8,5.0,4.1,5.666666666666667,3.6,4.6,3.0,3.3333333333333335,0.16666666666666666,1.3083333333333331,4.1
53,male,med,STRAP,Int,STRAP Int,3.75,2.75,Int,STRAP Int Int,True,3.0,2.8,2.9000000000000004,4.666666666666667,2.8,3.2,2.3333333333333335,1.8333333333333333,1.3333333333333333,2.341666666666667,3.1
22,male,med,GPT-3,Ext,GPT-3 Ext,2.0,3.5,Ext,GPT-3 Ext Ext,True,1.0,4.8,4.9,5.333333333333333,2.4,2.6,2.6666666666666665,2.6666666666666665,2.5,2.441666666666667,4.9
26,male,med,STRAP,Ext,STRAP Ext,3.0,3.25,Ext,STRAP Ext Ext,True,2.0,3.2,3.5999999999999996,4.0,2.2,3.4,3.0,1.6666666666666667,2.1666666666666665,2.575,3.6
23,male,med,STRAP,Int,STRAP Int,4.75,2.25,Int,STRAP Int Int,True,2.2,4.4,4.1,3.0,1.8,3.4,2.6666666666666665,0.5,2.0,3.0083333333333333,1.9
37,other,high,GPT-3,Ext,GPT-3 Ext,3.5,4.5,Ext,GPT-3 Ext Ext,True,3.0,2.2,2.5999999999999996,3.0,1.0,2.0,2.0,0.8333333333333334,2.6666666666666665,3.458333333333333,2.6
31,male,high,STRAP,Ext,STRAP Ext,3.75,3.75,Ext,STRAP Ext Ext,True,3.0,4.8,3.9000000000000004,5.333333333333333,3.6,4.0,3.3333333333333335,2.5,1.1666666666666667,1.6833333333333331,3.9
21,male,med,STRAP,Int,STRAP Int,3.5,2.0,Int,STRAP Int Int,True,1.2,4.6,4.7,6.0,1.2,3.6,3.0,1.1666666666666667,1.1666666666666667,2.7,1.3000000000000003
29,male,high,GPT-3,Int,GPT-3 Int,0.5,1.0,Ext,GPT-3 Int Ext,False,1.4,0.6,2.5999999999999996,1.3333333333333333,3.4,3.6,3.3333333333333335,2.3333333333333335,1.3333333333333333,1.8166666666666664,3.4
